id,name,unit,category_id
ING0001,AÇÚCAR CRISTAL,KG,CAT0001
ING0002,AÇÚCAR DE CONFEITEIRO,KG,CAT0001
ING0003,AÇÚCAR DEMERARA,KG,CAT0001
ING0004,AÇÚCAR GRANULADO,KG,CAT0001
ING0005,AÇÚCAR IMPALPÁVEL,KG,CAT0001
ING0006,AÇÚCAR REFINADO,KG,CAT0001
ING0007,MEL,KG,CAT0001
ING0008,MEL DE AROEIRA,KG,CAT0001
ING0009,XAROPE DE DEMERARA,KG,CAT0001
ING0010,CAFÉ COADO,UND,CAT0002
ING0011,CHÁ VERDE,KG,CAT0002
ING0012,CITRUS MIX,L,CAT0002
ING0013,CONCENTRADO DE CAPIM SANTO,L,CAT0015
ING0014,CORDIAL DE CHÁ VERDE,L,CAT0015
ING0015,ESPRESSO,UND,CAT0002
ING0016,ESSÊNCIA DE BAUNILHA,L,CAT0002
ING0017,EXTRATO DE BAUNILHA,L,CAT0002
ING0018,GELO,KG,CAT0002
ING0019,GUARNIÇÃO CAPIM SANTO E LIMÃO,UND,CAT0002
ING0020,XAROPE DE FRUTAS VERMELHAS E HIBISCO,L,CAT0015
ING0021,XAROPE DE LIMÃO SICILIANO,L,CAT0015
ING0022,XAROPE FERMENTADO DE GENGIBRE,L,CAT0015
ING0023,ÁGUA COM GÁS,UND,CAT0002
ING0024,ÁGUA FILTRADA,L,CAT0002
ING0025,ÁGUA TÔNICA,L,CAT0002
ING0026,BRIGADEIRO MOLE,KG,CAT0003
ING0027,CACAU EM PÓ,KG,CAT0003
ING0028,CHOCOLATE AMARGO,KG,CAT0003
ING0029,CHOCOLATE AMARGO 70%,KG,CAT0003
ING0030,CHOCOLATE BRANCO,KG,CAT0003
ING0031,CHOCOLATE MEIO AMARGO,KG,CAT0003
ING0032,GANACHE DE CHOCOLATE,KG,CAT0015
ING0033,ABACATE,KG,CAT0004
ING0034,BANANA PRATA,KG,CAT0004
ING0035,KIWI,KG,CAT0004
ING0036,LIMÃO SICILIANO,KG,CAT0004
ING0037,MANGA,KG,CAT0004
ING0038,MANGA CONGELADA,KG,CAT0004
ING0039,MAÇÃ VERMELHA,KG,CAT0004
ING0040,MORANGO,KG,CAT0004
ING0041,RASPAS DE LIMÃO,KG,CAT0004
ING0042,RASPAS DE LIMÃO SICILIANO,KG,CAT0004
ING0043,SUMO DE LARANJA,L,CAT0004
ING0044,SUMO DE LIMÃO,L,CAT0004
ING0045,SUMO DE LIMÃO SICILIANO,L,CAT0004
ING0046,SUMO DE LIMÃO TAHITI,L,CAT0004
ING0047,TOMATE CEREJA,KG,CAT0004
ING0048,ABACATE CONGELADO,KG,CAT0005
ING0049,BANANA CONGELADA,KG,CAT0005
ING0050,CRANBERRY SECO,KG,CAT0005
ING0051,DAMASCO SECO,KG,CAT0005
ING0052,FRUTAS CORTADAS,KG,CAT0005
ING0053,HIBISCO SECO,KG,CAT0005
ING0054,MIX DE FRUTAS VERMELHAS,KG,CAT0005
ING0055,MIX DE FRUTAS VERMELHAS CONGELADAS,KG,CAT0005
ING0056,POLPA DE AÇAÍ,KG,CAT0005
ING0057,SALADA DE FRUTAS,UND,CAT0005
ING0058,UVA PASSA BRANCA,KG,CAT0005
ING0059,AMIDO DE MILHO,KG,CAT0006
ING0060,ARROZ PARBOILIZADO,KG,CAT0006
ING0061,AVEIA EM FLOCOS,KG,CAT0006
ING0062,BIFUM,KG,CAT0006
ING0063,ESPAGUETE,KG,CAT0006
ING0064,FARELO DE AVEIA,KG,CAT0006
ING0065,FARINHA DE GRÃO DE BICO,KG,CAT0006
ING0066,FARINHA DE TRIGO,KG,CAT0006
ING0067,FARINHA PANKO,KG,CAT0006
ING0068,FERMENTO BIOLÓGICO SECO,KG,CAT0006
ING0069,FERMENTO QUÍMICO,KG,CAT0006
ING0070,LINGUINE,KG,CAT0006
ING0071,MASSA DE TAPIOCA,KG,CAT0006
ING0072,MASSA PARA PASTEL,KG,CAT0006
ING0073,POLVILHO AZEDO,KG,CAT0006
ING0074,POLVILHO DOCE,KG,CAT0006
ING0075,CHANTILLY,KG,CAT0007
ING0076,CREAM CHEESE,KG,CAT0007
ING0077,CREAM CHEESE AERADO,KG,CAT0015
ING0078,CREME DE LEITE,L,CAT0007
ING0079,CREME DE LEITE FRESCO,L,CAT0007
ING0080,CREME DE RICOTA,KG,CAT0015
ING0081,DOCE DE LEITE,KG,CAT0007
ING0082,FONDUTA DE QUEIJOS,KG,CAT0015
ING0083,GORGONZOLA,KG,CAT0007
ING0084,IOGURTE,KG,CAT0007
