id,ingrediente,qtd,data
CUR0001,ING0001,0.24,2026-05-20
CUR0002,ING0002,6.16,2026-05-20
CUR0003,ING0003,10.32,2026-05-20
CUR0004,ING0004,2.08,2026-05-20
CUR0005,ING0005,3.12,2026-05-20
CUR0006,ING0006,10.38,2026-05-20
CUR0007,ING0007,7.28,2026-05-20
CUR0008,ING0008,1.92,2026-05-20
CUR0009,ING0009,15.28,2026-05-20
CUR0010,ING0010,23.0,2026-05-20
CUR0011,ING0011,4.08,2026-05-20
CUR0012,ING0012,2.88,2026-05-20
CUR0013,ING0013,2.22,2026-05-20
CUR0014,ING0014,1.56,2026-05-20
CUR0015,ING0015,0.0,2026-05-20
CUR0016,ING0016,3.29,2026-05-20
CUR0017,ING0017,1.56,2026-05-20
CUR0018,ING0018,13.28,2026-05-20
CUR0019,ING0019,33.0,2026-05-20
CUR0020,ING0020,1.95,2026-05-20
CUR0021,ING0021,1.62,2026-05-20
CUR0022,ING0022,0.0,2026-05-20
CUR0023,ING0023,7.0,2026-05-20
CUR0024,ING0024,5.79,2026-05-20
CUR0025,ING0025,8.19,2026-05-20
CUR0026,ING0026,1.6,2026-05-20
CUR0027,ING0027,2.48,2026-05-20
CUR0028,ING0028,8.88,2026-05-20
CUR0029,ING0029,1.36,2026-05-20
CUR0030,ING0030,33.76,2026-05-20
CUR0031,ING0031,20.08,2026-05-20
CUR0032,ING0032,0.64,2026-05-20
CUR0033,ING0033,4.56,2026-05-20
CUR0034,ING0034,11.68,2026-05-20
CUR0035,ING0035,4.56,2026-05-20
CUR0036,ING0036,0.48,2026-05-20
CUR0037,ING0037,2.64,2026-05-20
CUR0038,ING0038,2.97,2026-05-20
CUR0039,ING0039,4.32,2026-05-20
CUR0040,ING0040,5.28,2026-05-20
CUR0041,ING0041,13.28,2026-05-20
CUR0042,ING0042,12.0,2026-05-20
CUR0043,ING0043,6.42,2026-05-20
CUR0044,ING0044,3.33,2026-05-20
CUR0045,ING0045,1.47,2026-05-20
CUR0046,ING0046,1.53,2026-05-20
CUR0047,ING0047,1.44,2026-05-20
CUR0048,ING0048,7.52,2026-05-20
CUR0049,ING0049,6.88,2026-05-20
CUR0050,ING0050,4.08,2026-05-20
CUR0051,ING0051,5.52,2026-05-20
CUR0052,ING0052,5.84,2026-05-20
CUR0053,ING0053,5.52,2026-05-20
CUR0054,ING0054,13.92,2026-05-20
CUR0055,ING0055,1.02,2026-05-20
CUR0056,ING0056,9.84,2026-05-20
