id,date_time,ingredient_id,quantity
EST000000001,2023-01-01 20:00:00,ING0001,0.25
EST000000002,2023-01-01 20:00:00,ING0002,25.65
EST000000003,2023-01-01 20:00:00,ING0003,9.0
EST000000004,2023-01-01 20:00:00,ING0004,414.0
EST000000005,2023-01-01 20:00:00,ING0005,0.25
EST000000006,2023-01-01 20:00:00,ING0006,225.22
EST000000007,2023-01-01 20:00:00,ING0007,0.02
EST000000008,2023-01-01 20:00:00,ING0008,102.72
EST000000009,2023-01-01 20:00:00,ING0009,0.25
EST000000010,2023-01-01 20:00:00,ING0010,956.0
EST000000011,2023-01-01 20:00:00,ING0011,0.25
EST000000012,2023-01-01 20:00:00,ING0012,0.18
EST000000013,2023-01-01 20:00:00,ING0013,9.22
EST000000014,2023-01-01 20:00:00,ING0014,0.08
EST000000015,2023-01-01 20:00:00,ING0015,906.0
EST000000016,2023-01-01 20:00:00,ING0016,0.25
EST000000017,2023-01-01 20:00:00,ING0017,0.25
EST000000018,2023-01-01 20:00:00,ING0018,203.17
EST000000019,2023-01-01 20:00:00,ING0019,821.0
EST000000020,2023-01-01 20:00:00,ING0020,10.69
EST000000021,2023-01-01 20:00:00,ING0021,0.14
EST000000022,2023-01-01 20:00:00,ING0022,16.88
EST000000023,2023-01-01 20:00:00,ING0023,0.0
EST000000024,2023-01-01 20:00:00,ING0024,32.13
EST000000025,2023-01-01 20:00:00,ING0025,54.0
EST000000026,2023-01-01 20:00:00,ING0026,9.45
EST000000027,2023-01-01 20:00:00,ING0027,12.15
EST000000028,2023-01-01 20:00:00,ING0028,59.26
EST000000029,2023-01-01 20:00:00,ING0029,20.25
EST000000030,2023-01-01 20:00:00,ING0030,28.35
EST000000031,2023-01-01 20:00:00,ING0031,0.75
EST000000032,2023-01-01 20:00:00,ING0032,123.05
EST000000033,2023-01-01 20:00:00,ING0033,9.79
EST000000034,2023-01-01 20:00:00,ING0034,5.4
EST000000035,2023-01-01 20:00:00,ING0035,6.75
EST000000036,2023-01-01 20:00:00,ING0036,0.25
EST000000037,2023-01-01 20:00:00,ING0037,6.75
EST000000038,2023-01-01 20:00:00,ING0038,9.0
EST000000039,2023-01-01 20:00:00,ING0039,0.25
EST000000040,2023-01-01 20:00:00,ING0040,0.1
EST000000041,2023-01-01 20:00:00,ING0041,0.25
EST000000042,2023-01-01 20:00:00,ING0042,0.02
EST000000043,2023-01-01 20:00:00,ING0043,0.58
EST000000044,2023-01-01 20:00:00,ING0044,0.25
EST000000045,2023-01-01 20:00:00,ING0045,109.35
EST000000046,2023-01-01 20:00:00,ING0046,0.25
EST000000047,2023-01-01 20:00:00,ING0047,0.75
EST000000048,2023-01-01 20:00:00,ING0048,18.68
EST000000049,2023-01-01 20:00:00,ING0049,53.32
EST000000050,2023-01-01 20:00:00,ING0050,0.75
EST000000051,2023-01-01 20:00:00,ING0051,0.75
EST000000052,2023-01-01 20:00:00,ING0052,66.38
EST000000053,2023-01-01 20:00:00,ING0053,0.75
EST000000054,2023-01-01 20:00:00,ING0054,0.0
EST000000055,2023-01-01 20:00:00,ING0055,0.25
EST000000056,2023-01-01 20:00:00,ING0056,45.0
EST000000057,2023-01-01 20:00:00,ING0057,720.0
EST000000058,2023-01-01 20:00:00,ING0058,0.25
EST000000059,2023-01-01 20:00:00,ING0059,6.08
EST000000060,2023-01-01 20:00:00,ING0060,60.75
EST000000061,2023-01-01 20:00:00,ING0061,13.49
EST000000062,2023-01-01 20:00:00,ING0062,0.12
EST000000063,2023-01-01 20:00:00,ING0063,0.29
EST000000064,2023-01-01 20:00:00,ING0064,0.0
EST000000065,2023-01-01 20:00:00,ING0065,0.25
EST000000066,2023-01-01 20:00:00,ING0066,284.54
EST000000067,2023-01-01 20:00:00,ING0067,0.75
EST000000068,2023-01-01 20:00:00,ING0068,0.75
EST000000069,2023-01-01 20:00:00,ING0069,49.86
EST000000070,2023-01-01 20:00:00,ING0070,0.52
EST000000071,2023-01-01 20:00:00,ING0071,62.44
EST000000072,2023-01-01 20:00:00,ING0072,0.25
EST000000073,2023-01-01 20:00:00,ING0073,0.25
EST000000074,2023-01-01 20:00:00,ING0074,0.25
EST000000075,2023-01-01 20:00:00,ING0075,5.4
EST000000076,2023-01-01 20:00:00,ING0076,135.0
EST000000077,2023-01-01 20:00:00,ING0077,13.5
EST000000078,2023-01-01 20:00:00,ING0078,15.75
EST000000079,2023-01-01 20:00:00,ING0079,82.18
EST000000080,2023-01-01 20:00:00,ING0080,11.48
EST000000081,2023-01-01 20:00:00,ING0081,72.0
EST000000082,2023-01-01 20:00:00,ING0082,41.52
EST000000083,2023-01-01 20:00:00,ING0083,8.44
EST000000084,2023-01-01 20:00:00,ING0084,116.1
EST000000085,2023-01-01 20:00:00,ING0085,0.0
EST000000086,2023-01-01 20:00:00,ING0086,256.5
EST000000087,2023-01-01 20:00:00,ING0087,9.0
EST000000088,2023-01-01 20:00:00,ING0088,458.94
EST000000089,2023-01-01 20:00:00,ING0089,192.0
EST000000090,2023-01-01 20:00:00,ING0090,8.44
EST000000091,2023-01-01 20:00:00,ING0091,15.52
EST000000092,2023-01-01 20:00:00,ING0092,143.58
EST000000093,2023-01-01 20:00:00,ING0093,36.6
EST000000094,2023-01-01 20:00:00,ING0094,25.2
EST000000095,2023-01-01 20:00:00,ING0095,40.12
EST000000096,2023-01-01 20:00:00,ING0096,10.46
EST000000097,2023-01-01 20:00:00,ING0097,0.25
EST000000098,2023-01-01 20:00:00,ING0098,0.25
EST000000099,2023-01-01 20:00:00,ING0099,0.25
EST000000100,2023-01-01 20:00:00,ING0100,0.25
EST000000101,2023-01-01 20:00:00,ING0101,0.25
EST000000102,2023-01-01 20:00:00,ING0102,0.02
EST000000103,2023-01-01 20:00:00,ING0103,0.75
EST000000104,2023-01-01 20:00:00,ING0104,7.76
EST000000105,2023-01-01 20:00:00,ING0105,5.62
EST000000106,2023-01-01 20:00:00,ING0106,20.7
EST000000107,2023-01-01 20:00:00,ING0107,0.04
EST000000108,2023-01-01 20:00:00,ING0108,0.75
EST000000109,2023-01-01 20:00:00,ING0109,0.25
EST000000110,2023-01-01 20:00:00,ING0110,0.14
EST000000111,2023-01-01 20:00:00,ING0111,20.25
EST000000112,2023-01-01 20:00:00,ING0112,0.25
EST000000113,2023-01-01 20:00:00,ING0113,0.25
EST000000114,2023-01-01 20:00:00,ING0114,0.25
EST000000115,2023-01-01 20:00:00,ING0115,6.08
EST000000116,2023-01-01 20:00:00,ING0116,4.05
EST000000117,2023-01-01 20:00:00,ING0117,0.75
EST000000118,2023-01-01 20:00:00,ING0118,0.25
EST000000119,2023-01-01 20:00:00,ING0119,0.07
EST000000120,2023-01-01 20:00:00,ING0120,53.78
EST000000121,2023-01-01 20:00:00,ING0121,8.1
EST000000122,2023-01-01 20:00:00,ING0122,84.51
EST000000123,2023-01-01 20:00:00,ING0123,17.89
EST000000124,2023-01-01 20:00:00,ING0124,0.02
EST000000125,2023-01-01 20:00:00,ING0125,0.75
EST000000126,2023-01-01 20:00:00,ING0126,42.19
EST000000127,2023-01-01 20:00:00,ING0127,0.25
EST000000128,2023-01-01 20:00:00,ING0128,0.16
EST000000129,2023-01-01 20:00:00,ING0129,7.76
EST000000130,2023-01-01 20:00:00,ING0130,0.25
EST000000131,2023-01-01 20:00:00,ING0131,16.2
EST000000132,2023-01-01 20:00:00,ING0132,11.34
EST000000133,2023-01-01 20:00:00,ING0133,0.0
EST000000134,2023-01-01 20:00:00,ING0134,0.75
EST000000135,2023-01-01 20:00:00,ING0135,0.25
EST000000136,2023-01-01 20:00:00,ING0136,0.25
EST000000137,2023-01-01 20:00:00,ING0137,0.25
EST000000138,2023-01-01 20:00:00,ING0138,0.25
EST000000139,2023-01-01 20:00:00,ING0139,21.38
EST000000140,2023-01-01 20:00:00,ING0140,3.15
EST000000141,2023-01-01 20:00:00,ING0141,2.59
