ingredient_id,date,nome_ingrediente,unidade,categoria_id,is_compravel,is_produzido_internamente,categoria,perfil_perecivel_estimado,quantidade_por_unidade_de_compra,saldo_atual,consumo_ingrediente_dia,dia_da_semana,is_friday,dias_ate_sexta,is_weekend,mes,semana_do_ano,dia_do_mes,is_summer,is_sao_joao,is_holiday,nome_feriado,tipo_feriado,is_carnaval_window,menor_preco_disponivel,preco_medio_disponivel,maior_preco_disponivel,menor_lead_time,lead_time_medio_fornecedores,qtd_fornecedores_disponiveis,maior_desconto_disponivel,min_to_discount,fornecedor_mais_barato,fornecedor_mais_rapido,preco_min_max_ratio,flag_indisponibilidade,ingrediente_afetado_por_indisponibilidade,produto_indisponivel_relacionado,dias_em_indisponibilidade,audit_qtd_pedida_no_dia,audit_valor_pedido_no_dia,audit_comprou_no_dia,audit_order_type_no_dia,lead_time_pedido_no_dia,saldo_lag_1,saldo_lag_7,variacao_estoque_1d,variacao_estoque_7d,flag_ruptura,consumo_lag_1d,consumo_lag_7d,consumo_lag_14d,consumo_lag_28d,media_movel_consumo_7d,desvio_consumo_7d,consumo_max_7d,media_movel_consumo_14d,desvio_consumo_14d,consumo_max_14d,media_movel_consumo_28d,desvio_consumo_28d,consumo_max_28d,tendencia_consumo_7_vs_28,dias_desde_ultimo_consumo,qtd_pedida_no_dia_audit,comprou_no_dia_audit,valor_pedido_no_dia_audit,order_type_no_dia_audit,total_pedido_30d,media_qtd_pedida_30d,lead_time_medio_realizado,dias_desde_ultimo_pedido,qtd_ultimo_pedido,tipo_ultimo_pedido,pedidos_em_aberto,qtd_em_transito,estoque_em_aberto,qtd_em_transito_no_horizonte,dias_para_proxima_entrega,stock_position,lead_time_previsto,dias_de_cobertura,flag_subestoque,flag_sobrestoque,y_qtd_comprar,y_threshold,y_comprar,y_demanda_futura_horizonte,y_demanda_futura_lead_time,safety_stock,horizonte_dias,target_horizonte_completo,baseline_threshold,baseline_order_up_to,baseline_qtd_comprar,baseline_comprar,criticidade_score,y_criticidade_score,y_nivel_criticidade,split_temporal
ING0063,2023-01-02,ESPAGUETE,KG,CAT0006,1,0,"Grãos, Farinhas e Massas",neutro,0.5,0.29,0.24,0,0,4,0,1,1,2,1,0,0,,,0,11.51,12.67,13.78,4,4.333333333333333,3,0.15,0,FOR0005,FOR0005,0.8352685050798259,0,0,,0,,,,,,0.29,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.12,0.1697056274847714,0.24,0.12,0.1697056274847714,0.24,0.12,0.1697056274847714,0.24,1.0,0,0.0,0,0.0,,0.0,0.0,4.333333333333333,9999,0.0,,0,0.0,0.0,0.0,9999,0.29,4,2.4166666666666665,1,0,13.0,4.160028570699746,1,12.479999999999997,3.6,0.5600285706997457,11,1,1.0400285706997456,1.8800285706997453,2.0,1,0.2788384936433851,0.0697110596890011,Emergencial,train
ING0016,2023-01-24,ESSÊNCIA DE BAUNILHA,L,CAT0002,1,0,Bebidas e Bases,neutro,0.5,0.75,0.0,1,0,3,0,1,4,24,1,0,0,,,0,91.26,97.16666666666669,101.2,3,3.6666666666666665,3,0.1,0,FOR0011,FOR0011,0.9017786561264822,0,0,,0,,,,,,0.0,0.0,0.75,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999,0.0,0,0.0,,4.96,0.2156521739130434,4.75,18,0.44,sexta,0,0.0,0.0,0.0,9999,0.75,3,999.0,0,1,0.0,0.0,0,0.0,0.0,0.0,10,1,0.0,0.0,0.0,0,999.0,999.0,OK,train
ING0066,2023-01-31,FARINHA DE TRIGO,KG,CAT0006,1,0,"Grãos, Farinhas e Massas",seco,0.5,758.76,44.25239134199134,1,0,3,0,1,5,31,1,0,0,,,0,6.91,7.78,8.59,4,4.333333333333333,3,0.08,0,FOR0005,FOR0005,0.8044237485448196,0,0,,0,,,,,,0.0,284.54,758.76,474.22,0,11.658873593073592,8.899975757575758,3.743599134199134,10.83389264069264,15.417173407544835,14.595625630536196,44.25239134199134,13.318615089672234,10.607285616785395,44.25239134199134,10.304408348794064,8.597674724855725,44.25239134199134,1.4961725977551272,0,0.0,0,0.0,,690.5,23.016666666666666,4.25,4,199.0,sexta,1,199.0,199.0,199.0,1,957.76,4,56.96988725114308,0,1,0.0,61.45649282579011,0,81.86924848484847,33.08416623376621,28.37232659202389,11,1,69.58995998720015,141.7208184287586,0.0,0,13.762904881338676,15.584358233961536,OK,train
ING0243,2023-02-10,ÓLEO DE GERGELIM,L,CAT0014,1,0,Óleos e Gorduras,neutro,0.5,0.04,0.06,4,1,0,0,2,6,10,1,0,0,,,0,92.86,93.6,94.34,4,4.5,2,0.08,0,FOR0010,FOR0025,0.984312062751749,0,0,,0,0.5,42.6,1.0,sexta,4.0,5.62,5.62,-5.58,-5.58,0,0.06,0.04,0.5,0.1,0.1542857142857142,0.1917339426442402,0.54,0.1971428571428571,0.2250274708504778,0.76,0.2057142857142857,0.1966276528427114,0.76,0.75,0,0.5,1,42.6,sexta,2.0,0.0666666666666666,6.25,7,0.5,sexta,0,0.0,0.0,0.0,9999,0.04,4,0.2028985507246377,1,0,2.5,1.2888712543809466,1,1.8599999999999997,0.6399999999999988,0.6488712543809478,11,1,1.4717283972380906,2.9117283972380905,3.0,1,0.027178927902095,0.0310349073765418,Emergencial,train
ING0116,2023-02-11,RÚCULA,KG,CAT0008,1,0,Legumes e Verduras,neutro,0.5,4.05,0.06,5,0,6,1,2,6,11,1,0,0,,,0,21.43,22.58,23.73,1,1.0,2,0.1,0,FOR0023,FOR0023,0.9030762747576908,0,0,,0,,,,,,0.02,4.05,4.03,0.0,0,0.36,0.3,0.18,0.36,0.0942857142857142,0.1247473637473143,0.36,0.1271428571428571,0.1229401712797151,0.36,0.1414285714285714,0.1162282010055851,0.46,0.6666666666666666,0,0.0,0,0.0,,5.66,0.1886666666666666,1.5,1,1.5,sexta,0,0.0,0.0,0.0,9999,4.05,1,31.85393258426966,0,1,0.0,0.4717765316592157,0,1.2199999999999989,0.2800000000000002,0.1917765316592155,8,1,0.3332051030877869,1.323205103087787,0.0,0,12.15467579118372,8.584572839510141,OK,train
ING0002,2023-02-13,AÇÚCAR DE CONFEITEIRO,KG,CAT0001,1,0,Açúcares e Mel,neutro,0.5,68.4,1.7268181818181818,0,0,4,0,2,7,13,1,0,0,,,0,14.02,14.823333333333332,16.1,3,3.333333333333333,3,0.1,0,FOR0001,FOR0001,0.870807453416149,0,0,,0,,,,,,0.06,25.65,68.34,42.75000000000001,0,1.2414545454545454,0.6849090909090909,0.9619090909090908,0.8019090909090909,1.153116883116883,0.4415686279701025,1.7268181818181818,1.6245259740259737,1.322067372543576,5.332636363636364,1.474762987012987,1.1501062756390523,5.332636363636364,0.7818997989991787,0,0.0,0,0.0,,31.68,1.056,3.625,3,0.5,sexta,1,0.5,0.5,0.5,2,68.9,3,42.10458995031519,0,1,0.0,11.240870130792572,0,14.481909090909085,7.9539999999999935,3.2868701307925794,10,1,7.71115909183154,18.03450000092245,0.0,0,8.935102904696395,6.129418737012132,OK,train
ING0169,2023-02-20,ARROZ PARBOILIZADO COZIDO,KG,CAT0012,1,0,Semi-prontos e Preparados,seco,0.5,19.13,0.0,0,0,4,0,2,8,20,1,0,1,Segunda de Carnaval,FACULTATIVO,1,8.05,8.673333333333334,9.54,3,3.6666666666666665,3,0.12,20,FOR0014,FOR0018,0.8438155136268345,0,0,,0,,,,,,0.12,51.0,19.01,-31.87,0,0.0,1.7000000000000002,0.7,2.0,1.3000000000000005,1.15325625946708,2.8000000000000003,0.85,1.0105215713451376,2.8000000000000003,0.9357142857142856,0.8782196998871303,2.8000000000000003,1.389312977099237,2,0.0,0,0.0,,40.66,1.3553333333333333,3.142857142857143,3,19.7,sexta,1,19.7,19.7,19.7,1,38.83,3,22.50588235294117,0,0,0.0,3.509849881680461,0,8.700000000000003,1.0,2.509849881680461,10,1,5.316992738823318,11.866992738823315,0.0,0,7.303000381488824,11.06315121984898,OK,train
ING0165,2023-03-06,PRESUNTO SERRANO,KG,CAT0011,1,0,Proteínas,neutro,0.5,10.12,0.42,0,0,4,0,3,10,6,1,0,1,Data Magna de Pernambuco,ESTADUAL,0,199.87,207.66,215.45,3,3.5,2,0.1,0,FOR0008,FOR0008,0.9276862381062893,0,0,,0,,,,,,10.12,27.0,0.0,-16.880000000000003,0,0.84,0.72,0.15,0.3,0.7542857142857142,0.4004105036441615,1.41,0.4757142857142856,0.4303972098442997,1.41,0.4596428571428571,0.3749714274829104,1.41,1.641025641025641,0,0.0,0,0.0,,13.5,0.45,3.0,3,5.0,sexta,0,0.0,0.0,0.0,9999,10.12,3,21.27327327327328,0,0,0.0,2.6616247802486024,0,3.960000000000001,1.5900000000000034,1.071624780248599,10,1,2.4505533516771703,5.66805335167717,0.0,0,4.12967952445264,3.802188826576361,OK,train
ING0001,2023-03-26,AÇÚCAR CRISTAL,KG,CAT0001,1,0,Açúcares e Mel,neutro,0.5,0.0,0.05325,6,0,5,1,3,12,26,1,0,0,,,0,6.31,6.72,7.3,3,3.333333333333333,3,0.07,0,FOR0001,FOR0001,0.8643835616438356,1,1,OVERNIGHT OATS,54,,,,,,0.25,0.75,-0.25,-0.75,1,0.0335,0.07875,0.02075,0.02575,0.042,0.0107308453379353,0.057125,0.0642053571428571,0.0397303291659138,0.164875,0.0873125,0.0597266778053715,0.232875,0.4810307802433787,0,0.0,0,0.0,,1.0,0.0333333333333333,3.0,2,0.5,sexta,1,0.5,0.5,0.5,1,0.5,3,0.0,0,0,0.5,0.4151919068682285,1,0.7546250000000008,0.2444999999999986,0.1706919068682298,10,1,0.4326294068682298,1.04381690686823,1.0,1,1.1557235640070345,1.2042623946393238,Atencao,train
ING0121,2023-03-28,MOLHO BÉCHAMEL,KG,CAT0009,1,0,Molhos e Condimentos,neutro,0.5,8.1,0.0,1,0,3,0,3,13,28,1,0,0,,,0,36.43,39.82333333333333,43.62,4,5.0,3,0.12,15,FOR0012,FOR0012,0.8351673544245759,0,0,,0,,,,,,8.1,8.1,0.0,0.0,0,0.27,0.0,0.03,0.12,0.15,0.0964365076099294,0.27,0.1542857142857142,0.123892899511839,0.4499999999999999,0.2142857142857142,0.1710193528452819,0.6,0.7000000000000001,1,0.0,0,0.0,,7.0,0.2333333333333333,4.5,25,3.0,sexta,0,0.0,0.0,0.0,9999,8.1,4,52.5,0,1,0.0,0.8943638643894287,0,0.899999999999995,0.3299999999999983,0.5643638643894304,11,1,1.4215067215322876,2.921506721532288,0.0,0,5.698179176577336,9.05671653620506,OK,train
