id,supplier_id,ingredient_id,qty,valor,data_pedido,status,data_prevista
PED000000000001,FOR0001,ING0001,2.5,14.76,2023-01-02,entregue,2023-01-05
PED000000000002,FOR0022,ING0005,2.0,28.99,2023-01-02,entregue,2023-01-05
PED000000000003,FOR0022,ING0009,4.5,131.77,2023-01-02,entregue,2023-01-05
PED000000000004,FOR0011,ING0011,1.5,182.01,2023-01-02,entregue,2023-01-05
PED000000000005,FOR0011,ING0016,1.5,146.51,2023-01-02,entregue,2023-01-05
PED000000000006,FOR0011,ING0017,3.5,406.36,2023-01-02,entregue,2023-01-05
PED000000000007,FOR0002,ING0031,2.0,166.42,2023-01-02,entregue,2023-01-07
PED000000000008,FOR0023,ING0039,2.0,94.97,2023-01-02,entregue,2023-01-03
PED000000000009,FOR0003,ING0050,1.0,81.87,2023-01-02,entregue,2023-01-05
PED000000000010,FOR0003,ING0051,1.95,132.41,2023-01-02,entregue,2023-01-04
PED000000000011,FOR0018,ING0053,2.0,189.19,2023-01-02,entregue,2023-01-05
PED000000000012,FOR0018,ING0054,0.93,42.03,2023-01-02,entregue,2023-01-04
PED000000000013,FOR0003,ING0055,2.3,83.95,2023-01-02,entregue,2023-01-04
PED000000000014,FOR0003,ING0058,3.0,123.74,2023-01-02,entregue,2023-01-04
PED000000000015,FOR0005,ING0064,2.0,29.4,2023-01-02,entregue,2023-01-06
PED000000000016,FOR0005,ING0065,2.0,31.66,2023-01-02,entregue,2023-01-07
PED000000000017,FOR0025,ING0067,1.83,40.77,2023-01-02,entregue,2023-01-06
PED000000000018,FOR0005,ING0068,1.5,94.51,2023-01-02,entregue,2023-01-06
PED000000000019,FOR0025,ING0072,1.5,38.58,2023-01-02,entregue,2023-01-06
PED000000000020,FOR0025,ING0073,1.5,18.63,2023-01-02,entregue,2023-01-07
PED000000000021,FOR0025,ING0074,3.7,49.55,2023-01-02,entregue,2023-01-06
PED000000000022,FOR0019,ING0085,2.0,79.94,2023-01-02,entregue,2023-01-04
PED000000000023,FOR0004,ING0097,1.5,42.16,2023-01-02,entregue,2023-01-04
PED000000000024,FOR0023,ING0098,1.5,11.98,2023-01-02,entregue,2023-01-03
PED000000000025,FOR0023,ING0103,1.5,9.89,2023-01-02,entregue,2023-01-03
PED000000000026,FOR0025,ING0125,4.0,176.08,2023-01-02,entregue,2023-01-06
PED000000000027,FOR0009,ING0127,3.0,205.01,2023-01-02,entregue,2023-01-06
PED000000000028,FOR0006,ING0130,1.72,50.37,2023-01-02,entregue,2023-01-06
PED000000000029,FOR0016,ING0133,2.24,228.56,2023-01-02,entregue,2023-01-07
PED000000000030,FOR0006,ING0134,2.0,199.02,2023-01-02,entregue,2023-01-06
PED000000000031,FOR0016,ING0135,1.5,109.3,2023-01-02,entregue,2023-01-06
PED000000000032,FOR0025,ING0137,1.5,99.02,2023-01-02,entregue,2023-01-06
PED000000000033,FOR0016,ING0138,2.0,124.62,2023-01-02,entregue,2023-01-09
PED000000000034,FOR0006,ING0145,1.82,83.42,2023-01-02,entregue,2023-01-06
PED000000000035,FOR0025,ING0146,3.57,154.62,2023-01-02,entregue,2023-01-07
PED000000000036,FOR0025,ING0147,1.81,39.85,2023-01-02,entregue,2023-01-06
PED000000000037,FOR0016,ING0148,2.5,81.73,2023-01-02,entregue,2023-01-07
PED000000000038,FOR0016,ING0149,1.89,98.71,2023-01-02,entregue,2023-01-06
PED000000000039,FOR0008,ING0150,2.5,57.12,2023-01-02,entregue,2023-01-05
PED000000000040,FOR0008,ING0151,2.5,176.06,2023-01-02,entregue,2023-01-05
PED000000000041,FOR0008,ING0156,1.5,121.78,2023-01-02,entregue,2023-01-05
PED000000000042,FOR0018,ING0168,3.0,23.79,2023-01-02,entregue,2023-01-05
