data_pedido,ingredient_id,qty,data_prevista,order_type
2023-01-02,ING0001,2.5,2023-01-05,emergencial
2023-01-02,ING0005,2.0,2023-01-05,emergencial
2023-01-02,ING0009,4.5,2023-01-05,emergencial
2023-01-02,ING0011,1.5,2023-01-05,emergencial
2023-01-02,ING0016,1.5,2023-01-05,emergencial
2023-01-02,ING0017,3.5,2023-01-05,emergencial
2023-01-02,ING0031,2.0,2023-01-07,emergencial
2023-01-02,ING0039,2.0,2023-01-03,emergencial
2023-01-02,ING0050,1.0,2023-01-05,emergencial
2023-01-02,ING0051,2.0,2023-01-04,emergencial
2023-01-02,ING0053,2.0,2023-01-05,emergencial
2023-01-02,ING0054,1.0,2023-01-04,emergencial
2023-01-02,ING0055,2.3008580083307217,2023-01-04,emergencial
2023-01-02,ING0058,3.0,2023-01-04,emergencial
2023-01-02,ING0064,2.0,2023-01-06,emergencial
2023-01-02,ING0065,2.0,2023-01-07,emergencial
2023-01-02,ING0067,1.5,2023-01-06,emergencial
2023-01-02,ING0068,1.5,2023-01-06,emergencial
2023-01-02,ING0072,1.5,2023-01-06,emergencial
2023-01-02,ING0073,1.5,2023-01-07,emergencial
2023-01-02,ING0074,3.7029322718124273,2023-01-06,emergencial
2023-01-02,ING0085,2.0,2023-01-04,emergencial
2023-01-02,ING0097,1.5,2023-01-04,emergencial
2023-01-02,ING0098,1.5,2023-01-03,emergencial
2023-01-02,ING0103,1.5,2023-01-03,emergencial
2023-01-02,ING0125,4.0,2023-01-06,emergencial
2023-01-02,ING0127,3.0,2023-01-06,emergencial
2023-01-02,ING0130,1.722103077522014,2023-01-06,emergencial
2023-01-02,ING0133,2.0,2023-01-07,emergencial
2023-01-02,ING0134,2.0,2023-01-06,emergencial
2023-01-02,ING0135,1.5,2023-01-06,emergencial
2023-01-02,ING0137,1.5,2023-01-06,emergencial
2023-01-02,ING0138,2.0,2023-01-09,emergencial
2023-01-02,ING0145,2.0,2023-01-06,emergencial
2023-01-02,ING0146,3.5,2023-01-07,emergencial
2023-01-02,ING0147,1.5,2023-01-06,emergencial
2023-01-02,ING0148,2.5,2023-01-07,emergencial
2023-01-02,ING0149,1.8936816563523655,2023-01-06,emergencial
2023-01-02,ING0150,2.5,2023-01-05,emergencial
2023-01-02,ING0151,2.5,2023-01-05,emergencial
2023-01-02,ING0156,1.5,2023-01-05,emergencial
2023-01-02,ING0168,3.0,2023-01-05,emergencial
2023-01-02,ING0199,1.5,2023-01-05,emergencial
2023-01-02,ING0223,2.0,2023-01-09,emergencial
2023-01-02,ING0225,2.0,2023-01-06,emergencial
2023-01-02,ING0226,1.5,2023-01-07,emergencial
2023-01-02,ING0227,1.5,2023-01-06,emergencial
2023-01-02,ING0229,1.4455800773256624,2023-01-06,emergencial
2023-01-02,ING0233,2.5,2023-01-06,emergencial
2023-01-02,ING0235,1.5,2023-01-06,emergencial
2023-01-02,ING0237,1.5,2023-01-06,emergencial
2023-01-02,ING0239,2.0,2023-01-06,emergencial
2023-01-02,ING0241,2.0,2023-01-06,emergencial
2023-01-02,ING0244,2.5,2023-01-06,emergencial
2023-01-03,ING0001,2.5,2023-01-06,emergencial
2023-01-03,ING0005,2.0,2023-01-06,emergencial
2023-01-03,ING0009,4.5,2023-01-06,emergencial
2023-01-03,ING0011,1.5,2023-01-06,emergencial
2023-01-03,ING0016,1.5,2023-01-06,emergencial
2023-01-03,ING0031,2.0,2023-01-07,emergencial
2023-01-03,ING0036,2.0,2023-01-04,emergencial
2023-01-03,ING0046,1.0,2023-01-05,emergencial
2023-01-03,ING0050,1.0,2023-01-05,emergencial
2023-01-03,ING0051,2.0,2023-01-05,emergencial
2023-01-03,ING0053,2.383160101088605,2023-01-07,emergencial
2023-01-03,ING0054,1.0,2023-01-05,emergencial
2023-01-03,ING0055,2.0,2023-01-08,emergencial
2023-01-03,ING0058,3.0,2023-01-07,emergencial
2023-01-03,ING0064,2.0,2023-01-07,emergencial
2023-01-03,ING0065,2.0,2023-01-07,emergencial
2023-01-03,ING0067,1.5,2023-01-07,emergencial
2023-01-03,ING0068,1.5,2023-01-07,emergencial
2023-01-03,ING0072,1.5,2023-01-08,emergencial
2023-01-03,ING0073,1.5,2023-01-07,emergencial
2023-01-03,ING0074,4.0,2023-01-07,emergencial
2023-01-03,ING0085,2.0,2023-01-05,emergencial
2023-01-03,ING0097,1.5,2023-01-05,emergencial
2023-01-03,ING0125,4.0,2023-01-07,emergencial
2023-01-03,ING0127,3.0,2023-01-07,emergencial
2023-01-03,ING0130,1.5,2023-01-07,emergencial
2023-01-03,ING0133,2.0,2023-01-08,emergencial
2023-01-03,ING0134,2.0,2023-01-07,emergencial
2023-01-03,ING0135,1.5,2023-01-07,emergencial
2023-01-03,ING0137,1.5,2023-01-07,emergencial
2023-01-03,ING0138,2.0,2023-01-07,emergencial
2023-01-03,ING0145,2.0,2023-01-07,emergencial
2023-01-03,ING0146,3.5,2023-01-07,emergencial
2023-01-03,ING0147,1.5,2023-01-07,emergencial
2023-01-03,ING0148,2.5,2023-01-07,emergencial
2023-01-03,ING0149,2.0,2023-01-07,emergencial
2023-01-03,ING0150,2.5,2023-01-06,emergencial
2023-01-03,ING0151,2.5,2023-01-06,emergencial
2023-01-03,ING0156,1.5,2023-01-06,emergencial
2023-01-03,ING0168,3.5,2023-01-06,emergencial
2023-01-03,ING0199,1.5,2023-01-06,emergencial
2023-01-03,ING0223,2.0,2023-01-07,emergencial
2023-01-03,ING0225,2.0,2023-01-07,emergencial
2023-01-03,ING0226,1.5,2023-01-07,emergencial
2023-01-03,ING0227,1.5,2023-01-07,emergencial
2023-01-03,ING0229,1.5,2023-01-07,emergencial
