id,date_time,recipe_id,quantity,unit_price
VEN000000001,2023-01-01 08:08:22,REC0065,5,21.9
VEN000000002,2023-01-01 08:09:42,REC0094,1,21.9
VEN000000003,2023-01-01 09:09:45,REC0046,2,36.9
VEN000000004,2023-01-01 09:15:17,REC0071,1,18.9
VEN000000005,2023-01-01 09:18:15,REC0100,2,13.39
VEN000000006,2023-01-01 09:30:58,REC0092,6,21.9
VEN000000007,2023-01-01 09:33:19,REC0103,3,9.21
VEN000000008,2023-01-01 09:46:22,REC0051,1,32.9
VEN000000009,2023-01-01 09:50:07,REC0092,1,21.9
VEN000000010,2023-01-01 09:56:10,REC0079,1,36.9
VEN000000011,2023-01-01 10:02:25,REC0051,2,32.9
VEN000000012,2023-01-01 10:06:56,REC0046,2,36.9
VEN000000013,2023-01-01 10:08:46,REC0069,3,26.9
VEN000000014,2023-01-01 10:10:41,REC0091,2,16.5
VEN000000015,2023-01-01 10:18:30,REC0077,3,26.9
VEN000000016,2023-01-01 10:26:20,REC0080,4,49.9
VEN000000017,2023-01-01 10:28:23,REC0059,2,35.9
VEN000000018,2023-01-01 10:32:44,REC0102,4,8.09
VEN000000019,2023-01-01 10:40:01,REC0075,2,26.9
VEN000000020,2023-01-01 10:48:56,REC0101,2,8.0
VEN000000021,2023-01-01 10:50:46,REC0072,8,18.9
VEN000000022,2023-01-01 10:54:02,REC0054,1,32.9
VEN000000023,2023-01-01 11:00:05,REC0079,2,36.9
VEN000000024,2023-01-01 11:14:49,REC0081,2,49.9
VEN000000025,2023-01-01 11:18:58,REC0083,2,54.9
VEN000000026,2023-01-01 11:39:53,REC0095,3,14.15
VEN000000027,2023-01-01 11:43:44,REC0059,3,35.9
VEN000000028,2023-01-01 11:49:26,REC0092,5,21.9
VEN000000029,2023-01-01 11:54:07,REC0064,1,29.9
VEN000000030,2023-01-01 11:56:55,REC0099,1,18.9
VEN000000031,2023-01-01 11:57:16,REC0050,1,26.9
VEN000000032,2023-01-01 11:58:48,REC0054,1,32.9
VEN000000033,2023-01-01 12:01:18,REC0067,2,16.9
VEN000000034,2023-01-01 12:02:59,REC0058,5,39.9
VEN000000035,2023-01-01 12:05:44,REC0046,4,36.9
VEN000000036,2023-01-01 12:13:07,REC0055,2,35.9
VEN000000037,2023-01-01 12:16:04,REC0069,2,26.9
VEN000000038,2023-01-01 12:18:56,REC0068,3,26.9
VEN000000039,2023-01-01 12:22:29,REC0087,3,42.9
VEN000000040,2023-01-01 12:31:04,REC0078,2,9.9
VEN000000041,2023-01-01 12:39:14,REC0067,2,16.9
VEN000000042,2023-01-01 12:53:26,REC0049,1,26.9
VEN000000043,2023-01-01 12:59:30,REC0053,4,36.9
VEN000000044,2023-01-01 13:01:24,REC0079,1,36.9
VEN000000045,2023-01-01 13:06:55,REC0048,2,36.9
VEN000000046,2023-01-01 13:17:01,REC0054,3,32.9
VEN000000047,2023-01-01 13:26:51,REC0061,1,32.9
VEN000000048,2023-01-01 13:27:08,REC0052,4,39.9
VEN000000049,2023-01-01 13:31:34,REC0055,3,35.9
VEN000000050,2023-01-01 13:38:07,REC0078,1,9.9
VEN000000051,2023-01-01 13:43:09,REC0071,4,18.9
VEN000000052,2023-01-01 13:59:01,REC0052,5,39.9
VEN000000053,2023-01-01 14:17:39,REC0075,3,26.9
VEN000000054,2023-01-01 14:37:40,REC0092,2,21.9
VEN000000055,2023-01-01 14:49:53,REC0095,2,14.15
VEN000000056,2023-01-01 15:07:07,REC0096,7,43.9
VEN000000057,2023-01-01 15:12:13,REC0077,3,26.9
VEN000000058,2023-01-01 15:14:18,REC0060,5,49.9
VEN000000059,2023-01-01 15:33:00,REC0098,2,11.85
VEN000000060,2023-01-01 15:36:52,REC0048,2,36.9
VEN000000061,2023-01-01 16:13:16,REC0057,3,26.9
VEN000000062,2023-01-01 16:19:10,REC0061,2,32.9
VEN000000063,2023-01-01 16:21:22,REC0066,2,21.9
VEN000000064,2023-01-01 16:44:49,REC0070,3,18.9
VEN000000065,2023-01-01 17:53:44,REC0074,3,21.9
VEN000000066,2023-01-01 18:06:43,REC0067,4,16.9
VEN000000067,2023-01-01 18:32:58,REC0052,3,39.9
VEN000000068,2023-01-01 18:57:00,REC0095,2,14.15
VEN000000069,2023-01-01 19:17:11,REC0048,3,36.9
VEN000000070,2023-01-01 19:19:35,REC0048,4,36.9
VEN000000071,2023-01-01 19:53:05,REC0101,3,8.0
VEN000000072,2023-01-01 19:53:34,REC0052,3,39.9
VEN000000073,2023-01-01 19:58:11,REC0075,1,26.9
VEN000000074,2023-01-02 08:31:59,REC0047,1,32.9
VEN000000075,2023-01-02 08:46:46,REC0047,2,32.9
VEN000000076,2023-01-02 09:20:54,REC0093,1,12.0
VEN000000077,2023-01-02 09:26:27,REC0081,1,49.9
VEN000000078,2023-01-02 10:00:47,REC0084,5,58.9
VEN000000079,2023-01-02 10:18:30,REC0051,3,32.9
VEN000000080,2023-01-02 10:32:45,REC0100,1,13.39
VEN000000081,2023-01-02 10:44:59,REC0092,4,21.9
VEN000000082,2023-01-02 10:54:43,REC0067,4,16.9
VEN000000083,2023-01-02 11:01:49,REC0094,3,21.9
VEN000000084,2023-01-02 11:10:07,REC0063,2,29.9
VEN000000085,2023-01-02 11:19:17,REC0080,1,49.9
VEN000000086,2023-01-02 11:23:44,REC0066,3,21.9
VEN000000087,2023-01-02 11:30:06,REC0074,2,21.9
VEN000000088,2023-01-02 11:36:52,REC0056,1,35.9
VEN000000089,2023-01-02 11:55:59,REC0051,3,32.9
VEN000000090,2023-01-02 12:03:37,REC0086,4,59.9
VEN000000091,2023-01-02 12:18:58,REC0085,3,25.0
VEN000000092,2023-01-02 12:23:57,REC0067,1,16.9
VEN000000093,2023-01-02 12:24:38,REC0068,2,26.9
VEN000000094,2023-01-02 12:25:19,REC0066,2,21.9
VEN000000095,2023-01-02 12:28:57,REC0095,1,14.15
VEN000000096,2023-01-02 12:31:09,REC0082,2,54.9
VEN000000097,2023-01-02 12:50:43,REC0058,3,39.9
VEN000000098,2023-01-02 12:55:30,REC0048,2,36.9
VEN000000099,2023-01-02 13:00:17,REC0078,1,9.9
VEN000000100,2023-01-02 13:01:29,REC0096,3,43.9
VEN000000101,2023-01-02 13:08:14,REC0091,2,16.5
VEN000000102,2023-01-02 13:15:57,REC0060,2,49.9
VEN000000103,2023-01-02 13:18:48,REC0047,2,32.9
VEN000000104,2023-01-02 13:20:02,REC0067,4,16.9
VEN000000105,2023-01-02 13:21:28,REC0091,2,16.5
VEN000000106,2023-01-02 13:22:04,REC0045,1,26.9
VEN000000107,2023-01-02 13:29:58,REC0097,1,11.23
VEN000000108,2023-01-02 13:33:04,REC0062,3,29.9
VEN000000109,2023-01-02 13:47:42,REC0089,2,43.9
VEN000000110,2023-01-02 14:06:17,REC0058,4,39.9
VEN000000111,2023-01-02 14:10:13,REC0053,1,36.9
VEN000000112,2023-01-02 14:25:30,REC0083,3,54.9
VEN000000113,2023-01-02 14:35:24,REC0105,3,59.9
VEN000000114,2023-01-02 14:37:38,REC0094,2,21.9
VEN000000115,2023-01-02 14:45:58,REC0095,1,14.15
VEN000000116,2023-01-02 15:42:33,REC0080,4,49.9
VEN000000117,2023-01-02 15:50:06,REC0067,1,16.9
VEN000000118,2023-01-02 16:20:39,REC0073,1,18.9
VEN000000119,2023-01-02 16:31:37,REC0078,2,9.9
VEN000000120,2023-01-02 16:34:25,REC0054,2,32.9
VEN000000121,2023-01-02 17:11:46,REC0046,1,36.9
VEN000000122,2023-01-02 17:16:05,REC0071,3,18.9
VEN000000123,2023-01-02 17:36:48,REC0078,3,9.9
VEN000000124,2023-01-02 17:37:20,REC0057,2,26.9
VEN000000125,2023-01-02 17:41:27,REC0069,2,26.9
VEN000000126,2023-01-02 17:43:52,REC0105,6,59.9
VEN000000127,2023-01-02 17:51:33,REC0100,3,13.39
VEN000000128,2023-01-02 17:52:39,REC0086,2,59.9
VEN000000129,2023-01-02 17:59:58,REC0050,5,26.9
VEN000000130,2023-01-02 18:24:31,REC0067,3,16.9
VEN000000131,2023-01-02 18:51:52,REC0102,2,8.09
VEN000000132,2023-01-02 19:07:38,REC0076,3,29.9
VEN000000133,2023-01-02 19:23:00,REC0099,1,18.9
VEN000000134,2023-01-02 19:35:26,REC0090,3,18.9
VEN000000135,2023-01-02 19:40:38,REC0070,4,18.9
VEN000000136,2023-01-02 19:41:51,REC0059,5,35.9
VEN000000137,2023-01-02 19:55:44,REC0064,4,29.9
VEN000000138,2023-01-03 08:06:11,REC0057,5,26.9
VEN000000139,2023-01-03 08:18:05,REC0049,2,26.9
VEN000000140,2023-01-03 09:27:05,REC0077,3,26.9
VEN000000141,2023-01-03 09:27:26,REC0082,3,54.9
VEN000000142,2023-01-03 09:42:10,REC0098,4,11.85
VEN000000143,2023-01-03 09:47:55,REC0069,4,26.9
VEN000000144,2023-01-03 09:59:28,REC0051,4,32.9
VEN000000145,2023-01-03 10:01:13,REC0071,5,18.9
VEN000000146,2023-01-03 10:05:00,REC0076,4,29.9
VEN000000147,2023-01-03 10:11:56,REC0057,5,26.9
VEN000000148,2023-01-03 10:16:49,REC0057,2,26.9
VEN000000149,2023-01-03 10:23:16,REC0056,1,35.9
VEN000000150,2023-01-03 10:26:04,REC0098,2,11.85
VEN000000151,2023-01-03 10:26:49,REC0101,2,8.0
VEN000000152,2023-01-03 10:27:24,REC0048,2,36.9
VEN000000153,2023-01-03 10:35:20,REC0057,4,26.9
VEN000000154,2023-01-03 10:39:01,REC0081,7,49.9
VEN000000155,2023-01-03 10:41:13,REC0057,1,26.9
VEN000000156,2023-01-03 10:42:51,REC0071,2,18.9
VEN000000157,2023-01-03 10:44:08,REC0079,2,36.9
VEN000000158,2023-01-03 10:47:18,REC0056,2,35.9
VEN000000159,2023-01-03 10:52:21,REC0045,2,26.9
VEN000000160,2023-01-03 11:00:59,REC0092,4,21.9
VEN000000161,2023-01-03 11:01:45,REC0067,2,16.9
VEN000000162,2023-01-03 11:12:14,REC0092,2,21.9
VEN000000163,2023-01-03 11:16:19,REC0052,4,39.9
VEN000000164,2023-01-03 11:17:23,REC0088,2,43.9
VEN000000165,2023-01-03 11:18:07,REC0067,3,16.9
VEN000000166,2023-01-03 11:20:27,REC0095,5,14.15
VEN000000167,2023-01-03 11:36:05,REC0067,1,16.9
VEN000000168,2023-01-03 11:38:45,REC0065,1,21.9
VEN000000169,2023-01-03 11:40:22,REC0100,1,13.39
VEN000000170,2023-01-03 11:41:58,REC0048,2,36.9
VEN000000171,2023-01-03 11:43:30,REC0095,6,14.15
VEN000000172,2023-01-03 11:44:19,REC0088,2,43.9
VEN000000173,2023-01-03 11:51:08,REC0056,2,35.9
VEN000000174,2023-01-03 11:52:51,REC0073,2,18.9
VEN000000175,2023-01-03 11:56:01,REC0094,3,21.9
VEN000000176,2023-01-03 11:56:17,REC0078,2,9.9
VEN000000177,2023-01-03 12:04:27,REC0087,3,42.9
VEN000000178,2023-01-03 12:08:40,REC0079,3,36.9
VEN000000179,2023-01-03 12:09:19,REC0049,2,26.9
VEN000000180,2023-01-03 12:15:34,REC0102,1,8.09
VEN000000181,2023-01-03 12:15:45,REC0051,1,32.9
VEN000000182,2023-01-03 12:17:54,REC0052,2,39.9
VEN000000183,2023-01-03 12:18:44,REC0070,2,18.9
VEN000000184,2023-01-03 12:18:52,REC0078,4,9.9
VEN000000185,2023-01-03 12:20:10,REC0100,5,13.39
VEN000000186,2023-01-03 12:24:05,REC0068,1,26.9
VEN000000187,2023-01-03 12:24:09,REC0055,3,35.9
VEN000000188,2023-01-03 12:24:33,REC0047,1,32.9
VEN000000189,2023-01-03 12:27:13,REC0067,1,16.9
VEN000000190,2023-01-03 12:27:25,REC0045,4,26.9
VEN000000191,2023-01-03 12:30:07,REC0060,3,49.9
VEN000000192,2023-01-03 12:32:48,REC0048,1,36.9
VEN000000193,2023-01-03 12:37:33,REC0051,1,32.9
VEN000000194,2023-01-03 12:41:30,REC0091,1,16.5
VEN000000195,2023-01-03 12:47:55,REC0078,3,9.9
VEN000000196,2023-01-03 12:54:23,REC0094,4,21.9
VEN000000197,2023-01-03 12:56:15,REC0100,1,13.39
VEN000000198,2023-01-03 12:56:44,REC0078,6,9.9
VEN000000199,2023-01-03 12:57:46,REC0103,2,9.21
VEN000000200,2023-01-03 12:58:19,REC0100,3,13.39
VEN000000201,2023-01-03 13:01:44,REC0045,1,26.9
VEN000000202,2023-01-03 13:07:45,REC0052,1,39.9
VEN000000203,2023-01-03 13:10:40,REC0051,5,32.9
VEN000000204,2023-01-03 13:11:19,REC0067,1,16.9
VEN000000205,2023-01-03 13:13:02,REC0067,6,16.9
VEN000000206,2023-01-03 13:14:02,REC0067,3,16.9
VEN000000207,2023-01-03 13:14:36,REC0073,1,18.9
VEN000000208,2023-01-03 13:17:31,REC0054,6,32.9
VEN000000209,2023-01-03 13:17:39,REC0100,1,13.39
VEN000000210,2023-01-03 13:21:08,REC0059,6,35.9
VEN000000211,2023-01-03 13:25:09,REC0067,4,16.9
VEN000000212,2023-01-03 13:32:42,REC0105,4,59.9
VEN000000213,2023-01-03 13:33:45,REC0077,2,26.9
VEN000000214,2023-01-03 13:34:49,REC0066,4,21.9
VEN000000215,2023-01-03 13:36:12,REC0076,4,29.9
VEN000000216,2023-01-03 13:36:16,REC0065,3,21.9
VEN000000217,2023-01-03 13:36:52,REC0101,3,8.0
VEN000000218,2023-01-03 13:37:22,REC0082,3,54.9
VEN000000219,2023-01-03 13:39:49,REC0057,4,26.9
VEN000000220,2023-01-03 13:41:09,REC0089,2,43.9
VEN000000221,2023-01-03 13:42:45,REC0090,4,18.9
VEN000000222,2023-01-03 13:45:42,REC0071,2,18.9
VEN000000223,2023-01-03 13:46:29,REC0067,4,16.9
VEN000000224,2023-01-03 13:48:49,REC0078,1,9.9
VEN000000225,2023-01-03 13:50:49,REC0053,1,36.9
VEN000000226,2023-01-03 13:51:10,REC0079,1,36.9
VEN000000227,2023-01-03 13:51:20,REC0065,1,21.9
VEN000000228,2023-01-03 13:52:33,REC0083,3,54.9
VEN000000229,2023-01-03 13:53:43,REC0065,1,21.9
VEN000000230,2023-01-03 13:54:03,REC0096,4,43.9
VEN000000231,2023-01-03 13:58:22,REC0047,3,32.9
VEN000000232,2023-01-03 14:06:27,REC0077,5,26.9
VEN000000233,2023-01-03 14:10:20,REC0096,2,43.9
VEN000000234,2023-01-03 14:13:15,REC0071,2,18.9
VEN000000235,2023-01-03 14:13:45,REC0065,1,21.9
VEN000000236,2023-01-03 14:17:10,REC0086,2,59.9
VEN000000237,2023-01-03 14:17:49,REC0077,1,26.9
VEN000000238,2023-01-03 14:17:57,REC0066,3,21.9
VEN000000239,2023-01-03 14:24:05,REC0104,2,8.0
VEN000000240,2023-01-03 14:26:20,REC0067,2,16.9
VEN000000241,2023-01-03 14:28:18,REC0071,3,18.9
VEN000000242,2023-01-03 14:32:03,REC0055,3,35.9
VEN000000243,2023-01-03 14:42:26,REC0073,2,18.9
VEN000000244,2023-01-03 14:45:25,REC0057,1,26.9
VEN000000245,2023-01-03 14:46:17,REC0067,2,16.9
VEN000000246,2023-01-03 14:48:03,REC0077,1,26.9
VEN000000247,2023-01-03 14:49:39,REC0053,2,36.9
VEN000000248,2023-01-03 14:50:11,REC0082,3,54.9
VEN000000249,2023-01-03 14:50:35,REC0080,4,49.9
VEN000000250,2023-01-03 14:56:27,REC0060,4,49.9
VEN000000251,2023-01-03 14:57:44,REC0075,2,26.9
VEN000000252,2023-01-03 15:06:27,REC0065,2,21.9
VEN000000253,2023-01-03 15:08:31,REC0075,3,26.9
VEN000000254,2023-01-03 15:09:15,REC0066,1,21.9
VEN000000255,2023-01-03 15:14:16,REC0079,3,36.9
VEN000000256,2023-01-03 15:34:53,REC0057,3,26.9
VEN000000257,2023-01-03 15:39:17,REC0056,2,35.9
VEN000000258,2023-01-03 15:55:23,REC0047,2,32.9
VEN000000259,2023-01-03 16:09:33,REC0068,1,26.9
VEN000000260,2023-01-03 16:10:39,REC0052,5,39.9
VEN000000261,2023-01-03 16:10:51,REC0070,4,18.9
VEN000000262,2023-01-03 16:14:52,REC0093,3,12.0
VEN000000263,2023-01-03 16:19:07,REC0103,4,9.21
VEN000000264,2023-01-03 16:28:29,REC0085,2,25.0
VEN000000265,2023-01-03 16:37:44,REC0098,6,11.85
VEN000000266,2023-01-03 16:39:06,REC0075,3,26.9
VEN000000267,2023-01-03 16:40:56,REC0097,1,11.23
VEN000000268,2023-01-03 16:45:47,REC0103,1,9.21
VEN000000269,2023-01-03 16:49:06,REC0083,4,54.9
VEN000000270,2023-01-03 16:54:25,REC0104,3,8.0
VEN000000271,2023-01-03 17:07:59,REC0073,3,18.9
VEN000000272,2023-01-03 17:08:23,REC0053,2,36.9
VEN000000273,2023-01-03 17:08:57,REC0095,3,14.15
VEN000000274,2023-01-03 17:19:01,REC0073,4,18.9
VEN000000275,2023-01-03 17:19:10,REC0094,3,21.9
VEN000000276,2023-01-03 17:21:02,REC0067,2,16.9
VEN000000277,2023-01-03 17:32:00,REC0098,2,11.85
VEN000000278,2023-01-03 17:34:59,REC0067,3,16.9
VEN000000279,2023-01-03 17:35:02,REC0072,2,18.9
VEN000000280,2023-01-03 17:37:54,REC0078,1,9.9
VEN000000281,2023-01-03 17:45:32,REC0070,1,18.9
VEN000000282,2023-01-03 17:48:32,REC0077,1,26.9
VEN000000283,2023-01-03 17:57:23,REC0079,3,36.9
VEN000000284,2023-01-03 18:03:05,REC0102,2,8.09
VEN000000285,2023-01-03 18:16:22,REC0102,4,8.09
VEN000000286,2023-01-03 18:40:01,REC0071,3,18.9
VEN000000287,2023-01-03 18:48:58,REC0058,1,39.9
VEN000000288,2023-01-03 18:54:24,REC0067,3,16.9
VEN000000289,2023-01-03 18:55:32,REC0081,2,49.9
VEN000000290,2023-01-03 18:59:30,REC0070,3,18.9
VEN000000291,2023-01-03 19:01:41,REC0075,1,26.9
VEN000000292,2023-01-03 19:02:39,REC0047,3,32.9
VEN000000293,2023-01-03 19:06:15,REC0052,4,39.9
VEN000000294,2023-01-03 19:14:12,REC0054,1,32.9
VEN000000295,2023-01-03 19:14:37,REC0047,2,32.9
VEN000000296,2023-01-03 19:16:49,REC0057,2,26.9
VEN000000297,2023-01-03 19:19:19,REC0069,1,26.9
VEN000000298,2023-01-03 19:19:59,REC0047,2,32.9
VEN000000299,2023-01-03 19:21:10,REC0105,1,59.9
VEN000000300,2023-01-03 19:23:37,REC0065,3,21.9
VEN000000301,2023-01-03 19:25:00,REC0100,2,13.39
VEN000000302,2023-01-03 19:29:16,REC0097,3,11.23
VEN000000303,2023-01-03 19:30:23,REC0049,2,26.9
VEN000000304,2023-01-03 19:31:32,REC0051,2,32.9
VEN000000305,2023-01-03 19:32:03,REC0082,6,54.9
VEN000000306,2023-01-03 19:37:42,REC0048,3,36.9
VEN000000307,2023-01-03 19:38:38,REC0076,2,29.9
VEN000000308,2023-01-03 19:43:09,REC0094,2,21.9
VEN000000309,2023-01-03 19:44:12,REC0070,2,18.9
VEN000000310,2023-01-03 19:46:57,REC0086,4,59.9
VEN000000311,2023-01-03 19:51:41,REC0102,3,8.09
VEN000000312,2023-01-03 19:53:37,REC0095,1,14.15
VEN000000313,2023-01-03 19:57:13,REC0051,4,32.9
VEN000000314,2023-01-03 19:58:18,REC0104,4,8.0
VEN000000315,2023-01-04 08:02:35,REC0094,4,21.9
VEN000000316,2023-01-04 08:08:14,REC0065,2,21.9
VEN000000317,2023-01-04 08:11:28,REC0088,1,43.9
VEN000000318,2023-01-04 08:20:10,REC0078,2,9.9
VEN000000319,2023-01-04 08:27:29,REC0096,1,43.9
VEN000000320,2023-01-04 08:29:20,REC0057,2,26.9
VEN000000321,2023-01-04 08:42:19,REC0075,2,26.9
VEN000000322,2023-01-04 08:48:03,REC0098,2,11.85
VEN000000323,2023-01-04 08:58:07,REC0084,2,58.9
VEN000000324,2023-01-04 08:59:11,REC0089,2,43.9
VEN000000325,2023-01-04 09:10:52,REC0057,3,26.9
VEN000000326,2023-01-04 09:12:58,REC0073,6,18.9
VEN000000327,2023-01-04 09:17:22,REC0047,2,32.9
VEN000000328,2023-01-04 09:25:15,REC0088,4,43.9
VEN000000329,2023-01-04 09:30:55,REC0078,3,9.9
VEN000000330,2023-01-04 09:31:17,REC0103,3,9.21
VEN000000331,2023-01-04 09:36:36,REC0057,5,26.9
VEN000000332,2023-01-04 09:42:00,REC0085,2,25.0
VEN000000333,2023-01-04 09:46:52,REC0083,4,54.9
VEN000000334,2023-01-04 09:58:59,REC0066,1,21.9
VEN000000335,2023-01-04 10:02:48,REC0065,2,21.9
VEN000000336,2023-01-04 10:04:15,REC0079,2,36.9
VEN000000337,2023-01-04 10:05:37,REC0057,1,26.9
VEN000000338,2023-01-04 10:15:25,REC0078,3,9.9
VEN000000339,2023-01-04 10:19:15,REC0069,1,26.9
VEN000000340,2023-01-04 10:30:05,REC0067,2,16.9
VEN000000341,2023-01-04 10:31:09,REC0053,3,36.9
VEN000000342,2023-01-04 10:40:17,REC0096,4,43.9
VEN000000343,2023-01-04 10:42:50,REC0050,1,26.9
VEN000000344,2023-01-04 10:49:42,REC0096,2,43.9
VEN000000345,2023-01-04 11:05:57,REC0048,4,36.9
VEN000000346,2023-01-04 11:13:15,REC0083,7,54.9
VEN000000347,2023-01-04 11:14:55,REC0093,2,12.0
