decision_rank,stage,stage_rank,family,model,f1_score,precision,recall,accuracy,roc_auc,rmse,mae,r2,sort_metric,artifact_path,prediction_path,warnings
1,classification,1,Arvores,Random Forest Classifier,0.9561510353227772,0.9509388249545728,0.9614206981016534,0.9794138670478914,0.9956219322976112,,,,0.9561510353227772,ml/artifacts/two_stage/03_tree_ensembles_random_forest_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/03_tree_ensembles_random_forest_classifier_classification_predictions.csv,
2,classification,2,Distancia,Gradient Boosting Classifier,0.95551492992078,0.9508793208004852,0.9601959583588487,0.9791279485346676,0.9963549602759024,,,,0.95551492992078,ml/artifacts/two_stage/01_knn_gradient_boosting_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/01_knn_gradient_boosting_classifier_classification_predictions.csv,
3,classification,3,Linear,Gradient Boosting Classifier,0.95551492992078,0.9508793208004852,0.9601959583588487,0.9791279485346676,0.996365809798055,,,,0.95551492992078,ml/artifacts/two_stage/02_linear_gradient_boosting_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/02_linear_gradient_boosting_classifier_classification_predictions.csv,
4,classification,4,Arvores,Gradient Boosting Classifier,0.95551492992078,0.9508793208004852,0.9601959583588487,0.9791279485346676,0.996365809798055,,,,0.95551492992078,ml/artifacts/two_stage/03_tree_ensembles_gradient_boosting_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/03_tree_ensembles_gradient_boosting_classifier_classification_predictions.csv,
5,classification,5,Distancia,XGBoost Classifier,0.9478758662247664,0.9329774614472124,0.9632578077158604,0.9752680486061472,0.996240697676809,,,,0.9478758662247664,ml/artifacts/two_stage/01_knn_xgboost_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/01_knn_xgboost_classifier_classification_predictions.csv,
6,classification,6,Linear,XGBoost Classifier,0.9478758662247664,0.9329774614472124,0.9632578077158604,0.9752680486061472,0.996240697676809,,,,0.9478758662247664,ml/artifacts/two_stage/02_linear_xgboost_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/02_linear_xgboost_classifier_classification_predictions.csv,
7,classification,7,Arvores,XGBoost Classifier,0.9478758662247664,0.9329774614472124,0.9632578077158604,0.9752680486061472,0.996240697676809,,,,0.9478758662247664,ml/artifacts/two_stage/03_tree_ensembles_xgboost_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/03_tree_ensembles_xgboost_classifier_classification_predictions.csv,
8,classification,8,Distancia,KNN Classifier,0.8698630136986302,0.8847371754274858,0.8554807103490508,0.9402430307362402,0.962208202101701,,,,0.8698630136986302,ml/artifacts/two_stage/01_knn_knn_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/01_knn_knn_classifier_classification_predictions.csv,
9,classification,9,Linear,Logistic Regression,0.8640776699029126,0.9162663006177076,0.8175137783221066,0.9399571122230164,0.9834415734959192,,,,0.8640776699029126,ml/artifacts/two_stage/02_linear_logistic_regression_classifier.pkl,ml/artifacts/two_stage/metrics/02_linear_logistic_regression_classification_predictions.csv,"ConvergenceWarning: lbfgs failed to converge after 100 iteration(s) (status=1):
STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT

Increase the number of iterations to improve the convergence (max_iter=100).
You might also want to scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html
Please also refer to the documentation for alternative solver options:
    https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression"
10,regression,1,Distancia,Gradient Boosting Regressor,,,,,,70.55490126495012,10.866621935357427,0.9000699498015922,70.55490126495012,ml/artifacts/two_stage/01_knn_gradient_boosting_regressor_regressor.pkl,ml/artifacts/two_stage/metrics/01_knn_gradient_boosting_regressor_regression_predictions.csv,
