pipeline,ingredient_id,nome_ingrediente,categoria,unidade,qtd_real_comprada,qtd_modelo_indicada,diferenca_abs,valor_real_comprado,valor_modelo_indicado,diferenca_modelo_menos_real,diferenca_valor_modelo_menos_real
Distancia - Knn,ING0163,OVO,Proteínas,UND,3091.0,20826.6,23917.6,2565.53,17286.078,17735.6,14720.548
Distancia - Knn,ING0010,CAFÉ COADO,Bebidas e Bases,UND,2131.87,2300.4,4432.2699999999995,8793.963749999999,9489.15,168.5300000000002,695.1862500000007
Distancia - Knn,ING0019,GUARNIÇÃO CAPIM SANTO E LIMÃO,Bebidas e Bases,UND,1126.03,2139.0,3265.03,2135.7035666666666,4056.9699999999993,1012.97,1921.2664333333328
Distancia - Knn,ING0159,CLARA DE OVO,Proteínas,UND,830.0,1859.4,2689.4,987.6999999999999,2212.6859999999997,1029.4,1224.9859999999999
Distancia - Knn,ING0057,SALADA DE FRUTAS,Frutas Secas e Congeladas,UND,1494.0,1733.8000000000002,2543.8,18749.7,21759.190000000002,239.80000000000018,3009.4900000000016
Distancia - Knn,ING0023,ÁGUA COM GÁS,Bebidas e Bases,UND,0.0,1896.6,1896.6,0.0,10140.488,1896.6,10140.488
Distancia - Knn,ING0178,BOLINHA DE RICOTA MARINADA,Semi-prontos e Preparados,UND,589.68,1049.0,1638.6799999999998,19459.44,34617.0,459.32000000000005,15157.560000000001
Distancia - Knn,ING0214,PÃO CIABATTA,Semi-prontos e Preparados,UND,698.78,438.6,1137.3799999999999,2924.3943000000004,1835.5410000000002,-260.17999999999995,-1088.8533000000002
Distancia - Knn,ING0015,ESPRESSO,Bebidas e Bases,UND,553.0,412.8,965.8,2988.9649999999997,2231.1839999999997,-140.2,-757.781
Distancia - Knn,ING0085,IOGURTE GREGO,Laticínios,L,1.96,798.0,796.04,69.52773333333334,28307.72,796.04,28238.19226666667
Distancia - Knn,ING0218,SORVETE DE CREME,Semi-prontos e Preparados,KG,444.38,329.2,698.8199999999999,14787.485133333332,10954.678666666667,-115.18,-3832.806466666665
Distancia - Knn,ING0074,POLVILHO DOCE,"Grãos, Farinhas e Massas",KG,0.0,698.4,698.4,0.0,7903.560000000001,698.4,7903.560000000001
Distancia - Knn,ING0244,ÓLEO DE SOJA,Óleos e Gorduras,L,4.5,623.1,618.6,42.1425,5835.3315,618.6,5793.189
Distancia - Knn,ING0160,FILÉ DE PEITO DE FRANGO,Proteínas,KG,59.989999999999995,642.5,612.49,1928.0786,20649.95,582.51,18721.8714
Distancia - Knn,ING0018,GELO,Bebidas e Bases,KG,246.5,237.8,484.3,1001.6116666666667,966.2606666666667,-8.699999999999989,-35.351
Distancia - Knn,ING0073,POLVILHO AZEDO,"Grãos, Farinhas e Massas",KG,0.0,469.5,469.5,0.0,5842.1449999999995,469.5,5842.1449999999995
Distancia - Knn,ING0242,ÓLEO DE CANOLA,Óleos e Gorduras,L,349.97,138.3,450.46999999999997,4889.0809,1932.0510000000002,-211.67000000000002,-2957.0298999999995
Distancia - Knn,ING0211,PARMÊ DE FRANGO KATSU,Semi-prontos e Preparados,UND,194.0,293.6,442.4,1729.8333333333333,2617.9333333333334,99.60000000000002,888.1000000000001
Distancia - Knn,ING0215,PÃO DE CAIXA,Semi-prontos e Preparados,KG,127.0,282.0,409.0,2783.84,6181.4400000000005,155.0,3397.6000000000004
Distancia - Knn,ING0086,LEITE CONDENSADO,Laticínios,KG,377.13,0.0,377.13,8804.7284,0.0,-377.13,-8804.7284
Distancia - Knn,ING0206,MOUSSE DE LIMÃO SICILIANO,Semi-prontos e Preparados,KG,0.0,356.6,356.6,0.0,5196.850666666666,356.6,5196.850666666666
Distancia - Knn,ING0006,AÇÚCAR REFINADO,Açúcares e Mel,KG,167.0,355.79999999999995,350.79999999999995,1256.3966666666665,2676.8019999999997,188.79999999999995,1420.4053333333331
Distancia - Knn,ING0188,CROISSANT,Semi-prontos e Preparados,UND,134.73000000000002,187.2,321.93,723.5001,1005.2640000000001,52.46999999999997,281.76390000000015
Distancia - Knn,ING0230,PASTA DE ALHO,Temperos e Especiarias,KG,0.0,305.3,305.3,0.0,7620.288,305.3,7620.288
Distancia - Knn,ING0167,TOFU FIRME,Proteínas,KG,0.0,294.3,294.3,0.0,9701.5995,294.3,9701.5995
Distancia - Knn,ING0122,MOLHO DE TOMATE ASSADO,Molhos e Condimentos,KG,147.66,135.3,282.96,3407.9927999999995,3122.7239999999997,-12.359999999999985,-285.2687999999998
Distancia - Knn,ING0009,XAROPE DE DEMERARA,Açúcares e Mel,KG,0.0,243.0,243.0,0.0,6877.709999999999,243.0,6877.709999999999
Distancia - Knn,ING0049,BANANA CONGELADA,Frutas Secas e Congeladas,KG,93.98,157.2,228.38,1748.0280000000002,2923.92,63.219999999999985,1175.8919999999998
Distancia - Knn,ING0093,PARMESÃO,Laticínios,KG,15.22,205.8,218.9,1716.5116000000003,23210.124000000003,190.58,21493.6124
Distancia - Knn,ING0056,POLPA DE AÇAÍ,Frutas Secas e Congeladas,KG,0.0,208.6,208.6,0.0,4630.92,208.6,4630.92
Distancia - Knn,ING0171,BASE DE BISCOITO,Semi-prontos e Preparados,KG,115.5,93.0,208.5,3307.92,2663.52,-22.5,-644.4000000000001
Distancia - Knn,ING0076,CREAM CHEESE,Laticínios,KG,33.03,171.5,204.53,1630.2506999999998,8464.668333333333,138.47,6834.4176333333335
Distancia - Knn,ING0095,QUEIJO DE COALHO,Laticínios,KG,46.5,155.5,202.0,2947.7900000000004,9857.663333333334,109.0,6909.873333333333
Distancia - Knn,ING0205,MIX DE VEGETAIS ESCALFADOS,Semi-prontos e Preparados,KG,0.0,198.9,198.9,0.0,5683.235999999999,198.9,5683.235999999999
Distancia - Knn,ING0088,LEITE INTEGRAL,Laticínios,L,38.5,158.5,197.0,287.33833333333337,1182.9383333333335,120.0,895.6000000000001
Distancia - Knn,ING0066,FARINHA DE TRIGO,"Grãos, Farinhas e Massas",KG,79.9,107.4,187.3,621.6220000000001,835.5720000000001,27.5,213.95000000000005
Distancia - Knn,ING0192,EMPANAMENTO SECO,Semi-prontos e Preparados,KG,82.5,104.1,186.6,1530.1,1930.708,21.599999999999994,400.6080000000002
Distancia - Knn,ING0070,LINGUINE,"Grãos, Farinhas e Massas",KG,35.5,147.9,183.4,582.555,2427.039,112.4,1844.4840000000004
Distancia - Knn,ING0024,ÁGUA FILTRADA,Bebidas e Bases,L,71.19,122.6,182.79,248.2158,427.4653333333333,51.41,179.24953333333332
Distancia - Knn,ING0001,AÇÚCAR CRISTAL,Açúcares e Mel,KG,8.86,166.3,165.24,59.5392,1117.536,157.44,1057.9968000000001
Distancia - Knn,ING0004,AÇÚCAR GRANULADO,Açúcares e Mel,KG,0.0,163.3,163.3,0.0,1428.875,163.3,1428.875
Distancia - Knn,ING0154,CAMARÃO,Proteínas,KG,76.5,83.6,160.1,8354.182499999999,9129.538,7.099999999999994,775.3555000000015
Distancia - Knn,ING0190,CUSCUZ,Semi-prontos e Preparados,KG,118.77,40.599999999999994,159.37,1479.8742000000002,505.87600000000003,-78.17,-973.9982000000002
