pipeline,notebook,family,pair_key,ingredient_id,date,nome_ingrediente,categoria,unidade,qtd_pedida_no_dia_audit,comprou_no_dia_audit,preco_medio_disponivel,y_qtd_comprar,y_comprar,qtd_real_comprada,comprou_real,qtd_alvo_abt,comprar_alvo_abt,valor_real_comprado,classifier_model,regressor_model,classificador_indicou_compra,probabilidade_compra,qtd_regressor_bruta,qtd_modelo_indicada,diferenca_modelo_menos_real,diferenca_abs,valor_modelo_indicado,diferenca_valor_modelo_menos_real,diferenca_modelo_menos_alvo_abt
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0227,2026-03-30,GENGIBRE,Temperos e Especiarias,KG,0.0,0,22.13,1.0,1,0.0,0,1.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,0.96,0.925,0.925,0.925,0.925,20.47025,20.47025,-0.07499999999999996
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0104,2026-01-21,CEBOLA ROXA,Legumes e Verduras,KG,0.0,0,10.29,3.5,1,0.0,0,3.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,0.98,3.5,3.5,3.5,3.5,36.015,36.015,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0110,2026-04-27,MIX DE COGUMELOS,Legumes e Verduras,KG,0.0,0,36.650000000000006,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,4.145,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0163,2026-01-05,OVO,Proteínas,UND,0.0,0,0.8300000000000001,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.03,1587.27,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0114,2026-03-30,REPOLHO ROXO,Legumes e Verduras,KG,0.0,0,7.435,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.02,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0111,2026-02-07,MIX DE FOLHAS,Legumes e Verduras,KG,0.0,0,37.23,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0016,2026-05-14,ESSÊNCIA DE BAUNILHA,Bebidas e Bases,L,0.0,0,97.16666666666669,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,5.57,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0166,2026-02-21,SALMÃO DEFUMADO,Proteínas,KG,0.0,0,141.66500000000002,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.05,1.115,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0133,2026-02-23,CASTANHA DE CAJU,Nozes e Sementes,KG,0.0,0,100.50333333333332,1.5,1,0.0,0,1.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,0.99,1.175,1.175,1.175,1.175,118.09141666666665,118.09141666666665,-0.32499999999999996
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0087,2026-03-06,LEITE EM PÓ,Laticínios,KG,0.94,1,50.370000000000005,0.0,0,0.94,1,0.0,0,47.3478,Random Forest Classifier,Random Forest Regressor,0,0.0,1.565,0.0,-0.94,0.94,0.0,-47.3478,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0107,2026-05-08,CENOURA EM FIOS,Legumes e Verduras,KG,0.0,0,17.55,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,0.905,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0006,2026-02-24,AÇÚCAR REFINADO,Açúcares e Mel,KG,0.0,0,7.523333333333333,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,47.945,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0046,2026-01-10,SUMO DE LIMÃO TAHITI,Frutas Frescas,L,0.0,0,6.716666666666666,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,1,0.91,0.575,0.575,0.575,0.575,3.8620833333333326,3.8620833333333326,0.575
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0131,2026-03-08,AMENDOIM TORRADO SEM SAL,Nozes e Sementes,KG,0.0,0,39.89666666666667,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.01,1.49,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0126,2026-02-23,SHOYU,Molhos e Condimentos,L,0.0,0,33.36666666666667,11.5,1,0.0,0,11.5,1,0.0,Random Forest Classifier,Random Forest Regressor,0,0.22,9.455,0.0,0.0,0.0,0.0,0.0,-11.5
